SPS Commerce Fields,Intacct Fields,Default Values
Invoice/Header/InvoiceHeader/TradingPartnerId,,
Invoice/Header/InvoiceHeader/InvoiceNumber,,
Invoice/Header/InvoiceHeader/InvoiceDate,Date,
Invoice/Header/InvoiceHeader/PurchaseOrderDate,,
Invoice/Header/InvoiceHeader/PurchaseOrderNumber,Reference,
Invoice/Header/InvoiceHeader/PrimaryPOTypeCode,,SA
Invoice/Header/InvoiceHeader/ReleaseNumber,,
Invoice/Header/InvoiceHeader/InvoiceTypeCode,,DR
Invoice/Header/InvoiceHeader/TsetPurposeCode,,00
Invoice/Header/InvoiceHeader/ExchangeRate,,
Invoice/Header/InvoiceHeader/InternalOrderNumber,,
Invoice/Header/InvoiceHeader/Department,,
Invoice/Header/InvoiceHeader/Vendor,,
Invoice/Header/InvoiceHeader/JobNumber,,
Invoice/Header/InvoiceHeader/Division,,
Invoice/Header/InvoiceHeader/CustomerAccountNumber,,
Invoice/Header/InvoiceHeader/CustomerOrderNumber,,
Invoice/Header/InvoiceHeader/CarrierProNumber,,
Invoice/Header/InvoiceHeader/BillOfLadingNumber,,
Invoice/Header/InvoiceHeader/ShipDate,Ship by date,
Invoice/Header/InvoiceHeader/ShipDeliveryDate,Service delivery date,
Invoice/Header/PaymentTerms/TermsType,,01
Invoice/Header/PaymentTerms/TermsBasisDateCode,,3
Invoice/Header/PaymentTerms/TermsDiscountPercentage,,
Invoice/Header/PaymentTerms/TermsDiscountDate,,
Invoice/Header/PaymentTerms/TermsDiscountDueDays,,
Invoice/Header/PaymentTerms/TermsNetDueDate,,
Invoice/Header/PaymentTerms/TermsNetDueDays,,
Invoice/Header/PaymentTerms/TermsDiscountAmount,,
Invoice/Header/PaymentTerms/TermsDeferredDueDate,,
Invoice/Header/PaymentTerms/TermsDeferredAmountDue,,
Invoice/Header/PaymentTerms/PercentOfInvoicePayable,,
Invoice/Header/PaymentTerms/TermsDescription,,
Invoice/Header/PaymentTerms/TermsDueDay,,01
Invoice/Header/PaymentTerms/PaymentMethodCode,,L
Invoice/Header/PaymentTerms/TermsStartDate,,
Invoice/Header/PaymentTerms/TermsDueDateQual,,01
Invoice/Header/PaymentTerms/AmountSubjectToDiscount,,
Invoice/Header/PaymentTerms/DiscountAmountDue,,
Invoice/Header/Dates/DateTimeQualifier,,03
Invoice/Header/Dates/Date,,
Invoice/Header/Contacts/ContactTypeCode,,IC
Invoice/Header/Contacts/ContactName,,
Invoice/Header/Contacts/PrimaryPhone,,
Invoice/Header/Contacts/PrimaryFax,,
Invoice/Header/Contacts/PrimaryEmail,,
Invoice/Header/Address/AddressTypeCode,,
Invoice/Header/Address/LocationCodeQualifier,,9
Invoice/Header/Address/AddressLocationNumber,,
Invoice/Header/Address/AddressName,,
Invoice/Header/Address/AddressAlternateName,,
Invoice/Header/Address/AddressAlternateName2,,
Invoice/Header/Address/Address1,,
Invoice/Header/Address/Address2,,
Invoice/Header/Address/Address3,,
Invoice/Header/Address/Address4,,
Invoice/Header/Address/City,,
Invoice/Header/Address/State,,
Invoice/Header/Address/PostalCode,,
Invoice/Header/Address/Country,,
Invoice/Header/Address/Contacts/ContactTypeCode,,IC
Invoice/Header/Address/Contacts/ContactName,,
Invoice/Header/Address/Contacts/PrimaryPhone,,
Invoice/Header/References/ReferenceQual,,BK
Invoice/Header/References/ReferenceID,,
Invoice/Header/References/Description,,
Invoice/Header/Notes/NoteCode,,GEN
Invoice/Header/Notes/Note,,
Invoice/Header/Taxes/TaxTypeCode,,TX
Invoice/Header/Taxes/TaxAmount,,
Invoice/Header/Taxes/TaxPercentQual,,1
Invoice/Header/Taxes/TaxPercent,,
Invoice/Header/Taxes/JurisdictionQual,,SP
Invoice/Header/Taxes/JurisdictionCode,,
Invoice/Header/Taxes/PercentDollarBasis,,
Invoice/Header/Taxes/TaxHandlingCode,,02
Invoice/Header/Taxes/TaxID,,
Invoice/Header/Taxes/Description,,
Invoice/Header/ChargesAllowances/AllowChrgIndicator,,A
Invoice/Header/ChargesAllowances/AllowChrgCode,,
Invoice/Header/ChargesAllowances/AllowChrgAmt,,
Invoice/Header/ChargesAllowances/AllowChrgPercentQual,,1
Invoice/Header/ChargesAllowances/AllowChrgPercent,,
Invoice/Header/ChargesAllowances/PercentDollarBasis,,5
Invoice/Header/ChargesAllowances/AllowChrgRate,,
Invoice/Header/ChargesAllowances/AllowChrgQtyUOM,,EA
Invoice/Header/ChargesAllowances/AllowChrgQty,,
Invoice/Header/ChargesAllowances/AllowChrgHandlingCode,,02
Invoice/Header/ChargesAllowances/ReferenceIdentification,,
Invoice/Header/ChargesAllowances/AllowChrgHandlingDescription,,
Invoice/Header/FOBRelatedInstruction/FOBPayCode,,BP
Invoice/Header/FOBRelatedInstruction/FOBLocationQualifier,,03
Invoice/Header/FOBRelatedInstruction/FOBLocationDescription,,
Invoice/Header/CarrierInformation/StatusCode,,CL
Invoice/Header/CarrierInformation/CarrierTransMethodCode,,K
Invoice/Header/CarrierInformation/CarrierAlphaCode,,
Invoice/Header/CarrierInformation/CarrierRouting,,
Invoice/Header/CarrierInformation/CarrierEquipmentInitial,,
Invoice/Header/CarrierInformation/CarrierEquipmentNumber,,
Invoice/Header/QuantityTotals/QuantityTotalsQualifier,,SQT
Invoice/Header/QuantityTotals/Quantity,,
Invoice/Header/QuantityTotals/QuantityUOM,,EA
Invoice/Header/QuantityTotals/Weight,,
Invoice/Header/QuantityTotals/WeightUOM,,LB
Invoice/Header/QuantityTotals/Volume,,
Invoice/Header/QuantityTotals/VolumeUOM,,CF
Invoice/LineItem/InvoiceLine/LineSequenceNumber,,
Invoice/LineItem/InvoiceLine/BuyerPartNumber,,
Invoice/LineItem/InvoiceLine/VendorPartNumber,,
Invoice/LineItem/InvoiceLine/ConsumerPackageCode,,
Invoice/LineItem/InvoiceLine/EAN,,
Invoice/LineItem/InvoiceLine/GTIN,,
Invoice/LineItem/InvoiceLine/UPCCaseCode,,
Invoice/LineItem/InvoiceLine/ProductID/PartNumberQual,,SS
Invoice/LineItem/InvoiceLine/ProductID/PartNumber,,
Invoice/LineItem/InvoiceLine/InvoiceQty,,
Invoice/LineItem/InvoiceLine/InvoiceQtyUOM,,EA
Invoice/LineItem/InvoiceLine/OrderQty,,
Invoice/LineItem/InvoiceLine/OrderQtyUOM,,EA
Invoice/LineItem/InvoiceLine/PurchasePrice,,
Invoice/LineItem/InvoiceLine/PurchasePriceBasis,,PP
Invoice/LineItem/InvoiceLine/ShipQty,,
Invoice/LineItem/InvoiceLine/ShipQtyUOM,,EA
Invoice/LineItem/InvoiceLine/QtyLeftToReceive,,
Invoice/LineItem/InvoiceLine/ExtendedItemTotal,,
Invoice/LineItem/InvoiceLine/ProductSizeDescription,,
Invoice/LineItem/InvoiceLine/Class,,
Invoice/LineItem/PriceInformation/PriceTypeIDCode,,UCP
Invoice/LineItem/PriceInformation/UnitPrice,,
Invoice/LineItem/ProductOrItemDescription/ProductCharacteristicCode,,08
Invoice/LineItem/ProductOrItemDescription/ProductDescription,,
Invoice/LineItem/MasterItemAttribute/ItemAttribute/ItemAttributeQualifier,,FDF
Invoice/LineItem/MasterItemAttribute/ItemAttribute/Description,,
Invoice/LineItem/PhysicalDetails/PackQualifier,,OU
Invoice/LineItem/PhysicalDetails/PackValue,,
Invoice/LineItem/PhysicalDetails/PackSize,,
Invoice/LineItem/PhysicalDetails/PackUOM,,CF
Invoice/LineItem/PhysicalDetails/PackWeight,,
Invoice/LineItem/PhysicalDetails/PackWeightUOM,,GR
Invoice/LineItem/PhysicalDetails/PackVolume,,
Invoice/LineItem/PhysicalDetails/PackVolumeUOM,,CF
Invoice/LineItem/References/ReferenceQual,,ST
Invoice/LineItem/References/ReferenceID,,
Invoice/LineItem/References/Description,,
Invoice/LineItem/Dates/DateTimeQualifier,,
Invoice/LineItem/Dates/Date,,
Invoice/LineItem/CarrierInformation/StatusCode,,
Invoice/LineItem/Address/AddressTypeCode,,CT
Invoice/LineItem/Address/LocationCodeQualifier,,ZZ
Invoice/LineItem/Address/AddressLocationNumber,,
Invoice/LineItem/Address/AddressName,,
Invoice/LineItem/Address/Address1,,
Invoice/LineItem/Address/City,,
Invoice/LineItem/Address/State,,
Invoice/LineItem/Address/PostalCode,,
Invoice/LineItem/Address/Country,,
Invoice/LineItem/Taxes/TaxTypeCode,,TX
Invoice/LineItem/Taxes/TaxAmount,,
Invoice/LineItem/Taxes/TaxPercentQual,,1
Invoice/LineItem/Taxes/TaxPercent,,
Invoice/LineItem/Taxes/PercentDollarBasis,,
Invoice/LineItem/Taxes/TaxHandlingCode,,02
Invoice/LineItem/ChargesAllowances/AllowChrgIndicator,,A
Invoice/LineItem/ChargesAllowances/AllowChrgCode,,
Invoice/LineItem/ChargesAllowances/AllowChrgAgencyCode,,ZZ
Invoice/LineItem/ChargesAllowances/AllowChrgAgency,,
Invoice/LineItem/ChargesAllowances/AllowChrgAmt,,
Invoice/LineItem/ChargesAllowances/AllowChrgPercentQual,,1
Invoice/LineItem/ChargesAllowances/AllowChrgPercent,,
Invoice/LineItem/ChargesAllowances/PercentDollarBasis,,
Invoice/LineItem/ChargesAllowances/AllowChrgRate,,
Invoice/LineItem/ChargesAllowances/AllowChrgQtyUOM,,EA
Invoice/LineItem/ChargesAllowances/AllowChrgQty,,
Invoice/LineItem/ChargesAllowances/AllowChrgHandlingCode,,02
Invoice/LineItem/ChargesAllowances/ReferenceIdentification,,
Invoice/LineItem/ChargesAllowances/AllowChrgHandlingDescription,,
Invoice/LineItem/ChargesAllowances/Taxes/TaxTypeCode,,GS
Invoice/LineItem/ChargesAllowances/Taxes/TaxAmount,,
Invoice/LineItem/ChargesAllowances/Taxes/TaxPercent,,
Invoice/LineItem/RegulatoryCompliances/RegulatoryComplianceQual,,CAFA0
Invoice/LineItem/RegulatoryCompliances/YesOrNoResponse,,Y
Invoice/Summary/TotalAmount,,
Invoice/Summary/TotalSalesAmount,,
Invoice/Summary/TotalTermsDiscountAmount,,
Invoice/Summary/TotalLineItemNumber,,
Invoice/Summary/InvoiceAmtDueByTermsDate,,
